title,company_name,has_company_name,salary,has_salary,url,source,description,label,id
Требуется водитель на фуру,,0,,0,https://www.olx.kz/obyavlenie/rabota/trebuetsya-voditel-na-furu-IDqLydk.html,olx.kz,,,587
Требуются озраники в сеть магазинов,,0,,0,https://www.olx.kz/obyavlenie/rabota/trebuyutsya-ozraniki-v-set-magazinov-IDqIQCR.html,olx.kz,,,435
Требуется специалист по GPS оборудованию (автотранспорт) Автоэлектрик,,0,,0,https://www.olx.kz/obyavlenie/rabota/trebuetsya-spetsialist-po-gps-oborudovaniyu-avtotransport-avtoelektrik-IDqMsfz.html,olx.kz,,,825
Бариста в кофейню Starbucks,ТОО Шая Казахстан,1,,0,https://almaty.hh.kz/vacancy/130945936?hhtmFrom=vacancy_search_list,hh.kz,"бариста starbucks – душа и лицо наших кофеен! если ваша страсть – узнавать всё новое, если вы доброжелательны и так же, как мы, влюблены в кофе, вливайтесь в наш дружный коллектив! должностные обязанности: приготовление кофе - нaпитков работа на кассе и в торговoм зале выполнение обязанностей по поддержанию чистоты в зале кофейни общение с гостями, а именно демонстрация знаний о кофе, активное предложение продукции гостям требуется: открытoсть коммуникабельность желание работать в сфере обслуживания приветствуется (но не обязателен) опыт работы официантом или барменом медицинская книжка приписной билет (для военнообязанных) мы предлагаем: гибкий график (утренние, дневные, вечерние смены) отличные возможности для карьерного и профессионального роста 30% скидка на продукцию торговой марки: starbucks оплата отпуска и больничного листа дмс после года работы обучение на рабочем месте (оплачиваемое) мы ждем всех, кто хочет стать частью нашей дружной команды и экспертом в области кофе!",,19
Короткая вахта из Костаная в Челябинск,,0,,0,https://www.olx.kz/obyavlenie/rabota/korotkaya-vahta-iz-kostanaya-v-chelyabinsk-IDqsIvg.html,olx.kz,,,614
Кассир-бухгалтер,ТОО PromoMed,1,"350 000 ₸ за месяц, на руки",1,https://almaty.hh.kz/vacancy/132159927?hhtmFrom=vacancy_search_list,hh.kz,"обязанности: — прием платежей от покупателей: наличный расчет, выставление — счетов kaspi qr, — прием наличных от водителей, — разноска в 1с пко, рко, — контроль и выписка эсф, — контроль расчетов и документооборота компании с покупателями. — учет взаиморасчетов с покупателями и заказчиками. акты сверок. требования: — знание 1с 8,3 — опыт работы в аналогичной должности от 3-х лет. — уверенный пользователь пк. — легко обучаемый, — ответственный, — коммуникабельный, — исполнительный, — высокая работоспособность умение работать в команде — опыт работы в торговых компаниях — опыт работа с большим объемом информацииl условия: — официальное трудоустройство. — стабильная и своевременная заработная плата. — график работы 5/2, с 09:00 до 18:00. — участие в развитии и росте компании. — дружелюбная и профессиональная команда. — расположение в офисе в центре города.",,303
Бухгалтер на первичную документацию,ТОО Казфитингпласт,1,от 300 000 до 400 000 ₸ за месяц на руки,1,https://almaty.hh.kz/vacancy/132127666?hhtmFrom=vacancy_search_list,hh.kz,"тоо «казфитингпласт» входит в группу компаний kazfitting, образованную 4 марта 2013 года в карагандинской области, г. сарань. наше предприятие ориентировано на развитие отечественной промышленной продукции и технологических решений для трубопроводной инфраструктуры, нефтегазового комплекса и строительной отрасли. сегодня в составе группы компаний — три производственных участка общей площадью более 15 000 кв.м, где работает команда численностью 150–200 сотрудников. предприятие состоит в реестре товаропроизводителей холдинга ао «самрук-казына», что подтверждает высокий уровень доверия со стороны государственных и корпоративных заказчиков. на сегодняшний день у нас открыта позиция бухгалтера по первичной документации (желательно с опытом работы в производстве*). условия: официальное трудоустройство по тк рк• график работы 5/2 с 8:30 до 17:30 ( есть развозка в г. сарань) • конкурентоспособная заработная плата • возможность профессионального развития и повышения квалификации • дружный коллектив и комфортный офис в г. караганда, ул. толепова 3 • социальные гарантии: оплачиваемый отпуск, больничные и т. д. требования: высшее или среднее профессиональное образование (бухгалтерский учет, экономика, финансы) • опыт работы бухгалтером от 2 х лет • знание бухгалтерского и налогового законодательства • опыт работы в 1с бухгалтерия 8.3, учет эдо • владение ms office (excel, word) • внимательность, ответственность, аналитический склад ума • опыт работы с вэд, осно, усн будет преимуществом обязанности: поступление тмц и услуг в 1с реализация готовой продукции учет и списание тмц работа с платежными поручениями ведение банковских операций учет импортных операций (вэд) статистическая отчетность работа с договорами (учет, контроль сроков) сверка взаиморасчетов с контрагентами контроль дебиторской и кредиторской задолженности",,84
HR специалист,ТОО GKGM,1,от 800 000 до 900 000 ₸ за месяц на руки,1,https://almaty.hh.kz/vacancy/132148701?hhtmFrom=vacancy_search_list,hh.kz,"мы не ресторан. мы — операционная система доставки еды. youcook! — сеть дарк-китченов и операционная платформа для food delivery в казахстане. бренд qasyq — «онлайн-столовая», где еда стоит как продукты в магазине. среднее время сборки одного заказа — 6 секунд. доставка — 15–20 минут. мы интегрированы с freedom food (freedom holding corp.) и строим инфраструктуру доставки национального масштаба. рост выручки за год: с 4 до 100 млн тенге в месяц. почему эта роль важна прямо сейчас: у нас 100 человек, активное масштабирование в новые города и амбиция на 200 точек. кадровик есть — hr-системы нет. вы строите её с нуля и становитесь частью управленческой команды. что предстоит делать: ваши задачи построить hr-функцию с нуля: процессы найма, онбординга, адаптации и удержания — для линейного и офисного персонала → создать систему массового найма под открытие новых дарккитченов в регионах (актау, оскемен, костанай и далее) → разработать грейды, мотивационную структуру и kpi для всех уровней — от повара до руководителя → снизить текучесть линейного персонала: выстроить удержание и корпоративную культуру в операционной среде → закрывать ключевые управленческие позиции совместно с ceo работать с кадровиком по документообороту, выстроить взаимодействие с бухгалтерией требования: кого мы ищем условия что мы предлагаем → формировать employer brand youcook! на рынке труда казахстана опыт в hr от 4 лет, из них хотя бы 2 года — на позиции hr bp, hrменеджера или выше → опыт построения hr-процессов в компании с нуля или в период активного роста → понимание специфики массового найма и работы с линейным персоналом (производство, ритейл, horeca — плюс) → умение работать в условиях высокой неопределённости и быстро расставлять приоритеты → сильные коммуникативные навыки: вы умеете работать с людьми разных уровней — от повара до инвестора → казахский и русский язык — обязательно; английский — преимущество → зарплата 800 000 – 900 000 ₸ — обсуждается по результатам встречи → полная занятость, офис в алматы прямое подчинение и работа с ceo — вы в управленческой команде, не в поддержке → готовы строить hr с нуля в масштабе страны? откликайтесь — первые интервью проводит лично ceo. реальное влияние: вы строите hr-систему, которая будет работать в масштабе всей страны → среда быстрых решений — без бюрократии и согласований на 3 уровня → причастность к одному из самых быстрорастущих food tech проектов в рк",,62
Таксопарк Яндекс | Яндекс такси для водителей | Подключение водителей,,0,,0,https://www.olx.kz/obyavlenie/rabota/taksopark-yandeks-yandeks-taksi-dlya-voditeley-podklyuchenie-voditeley-IDqyEZU.html,olx.kz,,,780
Кладовщик,ТОО АКСУАТ,1,"310 000 ₸ за месяц, до вычета налогов",1,https://almaty.hh.kz/vacancy/132222332?hhtmFrom=vacancy_search_list,hh.kz,"💼 кладовщик 💰 заработная плата: до 310 000 тг (до вычета налогов) 📅 график работы: 6/1 пн–пт: 09:00–18:00 сб: до 13:00 📄 тип занятости: полная занятость ✅ официальное трудоустройство по тк рк 🏢 тоо «аксуат» — стабильная и развивающаяся компания, специализирующаяся на поставке сельскохозяйственной и специальной техники. приглашаем в команду ответственного кладовщика. 🔹 обязанности: • прием, разгрузка и размещение товарно-материальных ценностей на складе • проверка соответствия тмц сопроводительным документам • ведение складского учета (приход, расход, перемещение) • комплектация и выдача запчастей и оборудования клиентам и сервисному отделу • участие в проведении инвентаризаций • контроль остатков и своевременное информирование о необходимости пополнения • обеспечение порядка и сохранности тмц • работа с первичной документацией (накладные, счета-фактуры и др.) 🔹 требования: • опыт работы кладовщиком от 1 года (желательно в сфере запчастей, спецтехники или оборудования) • знание складского учета и документооборота • уверенное владение пк (1с, excel — желательно) • внимательность, ответственность, аккуратность • физическая выносливость • умение работать в команде 🔹 мы предлагаем: • стабильную заработную плату без задержек • работу в надежной и развивающейся компании • дружный коллектив • возможность профессионального роста 📩 ждем ваше резюме",,286
