title,company_name,has_company_name,salary,has_salary,url,source,description,label,id
Административный менеджер,ТОО KAZTOUR,1,"от 350 000 до 400 000 ₸ за месяц, на руки",1,https://almaty.hh.kz/vacancy/132059171?hhtmFrom=vacancy_search_list,hh.kz,"мы крупнейшая туристическая компания в казахстане и центральной азии, объединяющая туроператора fun&sun и туристическое агентство kaztour . у нас 20+ лет успешного опыта, 14 офисов продаж в казахстане и более 5000 партнёров по всему миру. основная цель роли обеспечить бесперебойное функционирование офисов и контроль административно-хозяйственной деятельности компании: от взаимодействия с поставщиками до оптимизации расходов. основные обязанности: административное управление: контроль расходов по административно-хозяйственному направлению. ведение договоров с поставщиками услуг (аренда, логистика, связь, ремонт, клининг и др.). мониторинг качества и сроков выполнения услуг. закупки и контроль запасов: планирование и контроль закупа продуктов питания, хозяйственных и канцелярских товаров для бэк-офисов и офисов продаж. работа с заявками подразделений, проверка остатков, своевременное пополнение. ведение учёта и отчетности по расходам. операционная поддержка: контроль состояния помещений и оборудования, организация ремонтных и сервисных работ. взаимодействие с арендодателями, клининговыми и охранными службами. поддержание комфортных условий для сотрудников. отчётность и взаимодействие: подготовка отчетов по административным расходам и договорам. взаимодействие с финансовыми и hr-подразделениями. выполнение поручений руководителя, связанных с административно-хозяйственными вопросами. требования к кандидату: опыт работы в административно-хозяйственной сфере от 2 лет . уверенное владение ms excel (сводные таблицы, формулы, отчеты). навыки ведения переговоров и взаимодействия с поставщиками. развитые коммуникативные навыки — устные и письменные. организованность, внимательность и готовность работать в динамичной среде. мы предлагаем: официальное трудоустройство по тк рк. график 5/2, с 9.00 до 18.00 современный офис в алматы (ул. жарокова, 318). корпоративные скидки на туры, обучение английскому языку. дружная команда и корпоративная культура, где ценится инициатива и ответственность.",,422
Junior-специалист (Helpdesk),АО КСЖ Freedom Life,1,,0,https://almaty.hh.kz/vacancy/132199066?hhtmFrom=vacancy_search_list,hh.kz,"обязанности: обеспечение бесперебойной работы компьютеров; поддержка пользователей по вопросам работы компьютеров, софта, телефонии и офисной техники; обработка, регистрация и решение обращений пользователей по техническим вопросам - аппаратные неисправности, ms windows 10, ms office 365, 1c предприятие, банк-клиентские приложения, соно, эцп и т.д. удалённая техническая поддержка подразделений компании; требования: понимание принципов работы ad, dns, dhcp, основных протоколов tcp\ip знание принципов монтажа скс, видеонаблюдения и сетевого оборудования основы лвс и слаботочных систем: понимание, как работают ip-адреса, dns, dhcp. навыки работы с windows: установка, настройка и устранение проблем. знание принципов работы локальных и глобальных сетей. опыт работы с офисными приложениями (excel, word, google docs). умение организовывать своё рабочее время и задачи. стремление к саморазвитию и повышению квалификации. умение работать с обратной связью и быстро адаптироваться. условия: работа в компании, входящую в топ - 5 рейтинга крупнейших компаний казахстана в сфере страхования жизни; развитая корпоративная культура; карьерный рост; дмс (после прохождения испытательного срока); · мы ждем тебя в отличную команду профессионалов, с которыми хочется двигаться только вперед! рассмотрим кандидатов без опыта работы",,420
Уборщица/уборщик офиса,ТОО ЛОКАЛ ФАРМ,1,от 100 000 до 120 000 ₸ за месяц на руки,1,https://almaty.hh.kz/vacancy/132228082?hhtmFrom=vacancy_search_list,hh.kz,"обязанности: уборка офиса, уборка сервиса, уборка склада требования: чистоплотная/ый условия: оформление согласно тк рк своевременная заработная плата 5-ти дневная рабочая неделя. суббота, воскресенье - выходные график работы с 14-00 до 18-00 с перерывом на обед. работа временно",,120
Backend-разработчик (Java),ТОО Yurt Tech,1,,0,https://almaty.hh.kz/vacancy/132180241?hhtmFrom=vacancy_search_list,hh.kz,"yurt tech — технологическая компания, разрабатывающая современные продукты и высоконагруженные системы. мы строим масштабируемые сервисы и работаем с актуальным стеком технологий. задачи разработка и поддержка backend-сервисов участие в проектировании архитектуры и микросервисов оптимизация производительности и стабильности системы работа с высоконагруженными сервисами участие в code review и технических обсуждениях взаимодействие с командой разработки требования опыт разработки на java от 2 лет уверенное знание spring boot и экосистемы spring опыт работы с микросервисной архитектурой опыт работы с sql и/или nosql базами данных опыт работы с kafka или rabbitmq опыт работы с docker, kubernetes понимание ci/cd процессов понимание принципов оптимизации и производительности будет плюсом опыт проектирования архитектуры систем опыт работы с высоконагруженными системами опыт менторства или code review английский язык от уровня b2 условия офис в астане (район expo)- работа в офисе, удаленной работе нет конкурентная заработная плата работа над интересными и сложными задачами профессиональный рост и развитие",,54
Frontend разработчик (Middle),"ТОО Small, ТМ (Скиф Трейд, ТОО)",1,,0,https://almaty.hh.kz/vacancy/132149293?hhtmFrom=vacancy_search_list,hh.kz,"мы — small , лидер розничной торговли казахстана. развиваем высоконагруженную e-com платформу для 150+ магазинов. обязанности: • выявлять и устранять узкие места в производительности фронтенда - от рендеринга до времени загрузки. • создавать и развивать инструменты, библиотеки и процессы, которые используют все продуктовые команды. • участвовать в проектировании архитектуры фронтенд-платформы и принимать ключевые технические решения. • совместно с другими командами вырабатывать и внедрять единые подходы к компонентам, стилям и взаимодействию между системами. • оптимизировать сборочные процессы и ускорять ci/cd для фронтенда • постоянно улучшать качество кода: тестировать, рефакторить, внедрять best practices и современные стандарты разработки. требования: • глубокое понимание html, css, javascript и typescript • уверенный опыт работы с react и другими современными js-фреймворками • хорошее знание архитектуры современных браузеров и принципов рендеринга • навыки профилирования и оптимизации производительности фронтенда на уровне приложения и инструментов сборки • знание webpack, vite (или аналогов) и умение настраивать сложные сборочные процессы • самостоятельность, аналитическое мышление и готовность решать исследовательские задачи без чёткого тз будет хорошо: • опыт участия в платформенных или инфраструктурных командах - вы строите решения, на которых работают другие разработчики мы предлагаем: официальное оформление по тк рк. удалённый/гибридный/офисный формат работы. работу над социально значимым проектом с реальным масштабом и сложными техническими вызовами. сильную команду экспертов и лояльное руководство, открытое к инновациям.",,152
Project Manager (Event Branding & Production),Публичная Компания «Freedom Finance Global PLC»,1,,0,https://almaty.hh.kz/vacancy/132071915?hhtmFrom=vacancy_search_list,hh.kz,"мы некоммерческая организация международной направленности, входящая в группу компаний freedom holding corp находимся в поисках project manager (event branding & production). о роли: мы организуем полный цикл подготовки мероприятий: от концепции до реализации на площадке. мы ищем человека, который возьмёт на себя управление всем визуальным и продакшн-блоком мероприятий. организованного и внимательного менеджера, который умеет держать под контролем сразу несколько процессов, не боится брать ответственность и доводит задачи до результата. 🎯 основные задачи полная координация брендинга мероприятий (баннеры, роллапы, пресс-воллы, мерч и др.); постановка задач дизайнеру (подготовка тз, контроль выполнения); взаимодействие с подрядчиками (типографии, продакшн, застройка, видео и т.д.); контроль сроков производства и качества материалов; проверка макетов (соответствие тз, размеры, подготовка к печати); согласование материалов с руководством и партнерами; внесение правок и доведение до финального результата; контроль реализации на площадке (монтаж, размещение, соответствие макетам); ведение нескольких задач и проектов параллельно. ✅ требования к кандидату опыт работы от 2–3 лет в: ивентах / выставках / форумах / спортивных мероприятиях или в продакшн / рекламных агентствах; опыт работы с подрядчиками и контролем производства; понимание основ дизайна (чтобы проверять макеты, а не рисовать); знание базовых требований к печати (форматы, вылеты, материалы); умение писать понятные тз; навыки тайм-менеджмента и работы с дедлайнами; внимательность к деталям и ответственность. ➕ будет плюсом опыт в спортивных или крупных публичных мероприятиях; опыт работы с мерчем; понимание видеопродакшена / сценического оформления. 🎁 что мы предлагаем работа в мультикультурной команде с глобальной миссией; участие в международных событиях и поездках; возможность влиять на визуальный облик событий; гибкий график, конкурентная оплата, бонусы за эффективность; пространство для роста и реализации собственных инициатив.",,404
Яндекс курьер работа | Яндекс доставка | Бонус для курьеров 15 000 тг,,0,,0,https://www.olx.kz/obyavlenie/rabota/yandeks-kurer-rabota-yandeks-dostavka-bonus-dlya-kurerov-15-000-tg-IDqAvsg.html,olx.kz,,,799
Front-End Developer,Частная компания “Automated Communication Solutions Ltd.”,1,"500 000 ₸ за месяц, на руки",1,https://almaty.hh.kz/vacancy/132195211?hhtmFrom=vacancy_search_list,hh.kz,"ищем в команду frontend developer для международной igaming-платформы. мы развиваем онлайн-продукт в сфере интерактивных развлечений и спортивных сервисов, делая акцент на удобный интерфейс, скорость работы и качественный пользовательский опыт для международной аудитории. необходимый опыт: 2+ года коммерческой разработки frontend ; опыт работы с react и vue.js ; опыт работы с rest api / backend-интеграциями; опыт разработки интерфейсов с нуля или поддержки существующих продуктов; опыт взаимодействия с дизайнерами, backend-разработчиками и продуктовой командой. необходимые навыки / умения: уверенное знание javascript (es6+); опыт построения компонентной архитектуры (react/vue); понимание адаптивной и кроссбраузерной верстки (html, css); умение работать с api; навык оптимизации производительности; умение читать и понимать чужой код, рефакторинг. технические навыки: javascript — advanced; react и/или vue.js — уверенный уровень; html/css — уверенный уровень (flexbox, grid); git; работа с api (rest / json); сборщики и инструменты (vite, webpack) — middle. будет плюсом: typescript; понимание ci/cd; базовые знания backend; ит/техническое образование или профильные курсы. задачи: разработка и поддержка пользовательских интерфейсов на react/vue; реализация новых фич и улучшение существующего функционала; интеграция с backend api; оптимизация производительности интерфейсов; работа с ui/ux и улучшение пользовательского опыта; исправление багов и технического долга. условия: график: 9:00–18:00 / 10:00–19:00 - по договоренности; режим: офис / гибрид - по договоренности; город: алматы.",,208
требуется водитель на Миксер,,0,Бесплатно,1,https://www.olx.kz/obyavlenie/rabota/trebuetsya-voditel-na-mikser-IDqDbIg.html,olx.kz,,,716
Оператор лазерного станка Чпу,,0,,0,https://www.olx.kz/obyavlenie/rabota/operator-lazernogo-stanka-chpu-IDqkQ1G.html,olx.kz,,,652
Администратор,ТОО LMC ASTANA,1,от 500 000 ₸ за месяц на руки,1,https://almaty.hh.kz/vacancy/132187458?hhtmFrom=vacancy_search_list,hh.kz,"администратор косметологии обязанности: высококлассный сервис: встреча и сопровождение клиентов центра, создание атмосферы заботы и гостеприимства. работа с записью: прием входящих звонков, консультирование по услугам и прайсу, запись пациентов в специализированном по (например, crm). продажи и консультирование: презентация услуг центра, помощь в подборе профессиональной косметики (допродажи). кассовая дисциплина: проведение расчетов с пациентами (наличные/карты/qr), работа с кассовым аппаратом и отчетностью. координация работы: контроль подготовки кабинетов к приему, взаимодействие с врачами-косметологами и эстетистами. требования: опыт работы: в сфере сервиса (медицинские центры, салоны красоты премиум-класса, отели, авиалинии) будет вашим преимуществом. коммуникабельность: грамотная речь, умение найти подход к требовательному клиенту, тактичность и эмпатия. навыки продаж: понимание того, как мягко предложить дополнительную услугу или товар. опрятность: соблюдение стандартов внешнего вида. ответственность: умение работать в режиме многозадачности без потери качества. условия: работа в современном центре косметологии с передовым оборудованием. стабильный график работы. своевременная заработная плата: оклад + бонусная часть. корпоративные скидки на услуги центра и профессиональную косметику для сотрудников. обучение стандартам работы и особенностям косметологических процедур. дружный коллектив профессионалов и комфортные условия труда.",,9
Требуется уборщица,,0,,0,https://www.olx.kz/obyavlenie/rabota/trebuetsya-uborschitsa-IDi2jk5.html,olx.kz,,,688
Инспектор подразделения досмотра,"Международный Аэропорт Алматы, АО",1,,0,https://almaty.hh.kz/vacancy/132023500?hhtmFrom=vacancy_search_list,hh.kz,"внимание! вакансия открыта на период временного отсутствия основного сотрудника (декретная ставка) с возможностью последующего перевода в другую должность при наличии вакансий. основанный в 1935 году, международный аэропорт алматы — крупнейшие воздушные ворота казахстана, а с 2020 года — часть tav airports , входящего в группу groupe adp , ведущей мировой платформы по управлению аэропортами, работающей в 29 странах. наша миссия — соединять страны снг с миром, обеспечивая беспрепятственный и первоклассный опыт путешествий. наше видение — к 2030 году стать самым востребованным авиационным хабом азии с наибольшим количеством направлений в центральной азии, предлагая инновационный опыт путешествий и грузоперевозок, а также способствуя устойчивому развитию местных сообществ. наши ценности — безопасность и ответственность, клиентоориентированность и забота о людях, инновации и гибкость, сотрудничество и прозрачность, совершенство и страсть к делу. мы привержены операционному совершенству, удовлетворённости клиентов и постоянным инновациям, при этом строго соблюдаем высочайшие стандарты безопасности, устойчивого развития и качества обслуживания. чем вы будете заниматься? применять досмотровое оборудование, находящиеся в эксплуатации на пунктах досмотра интерпретировать изображение рентгено-телевизионной установки для выявления запрещенных веществ и предметов к провозу на борту воздушного судна, а также вносу в контролируемую и охраняемую зону ограниченного доступа аэропорта производить личный досмотр и ручной пассажиров и их ручной клади, багажа проводить опрос пассажиров о наличии запрещенных веществ и предметов применять портативный металлоискатель для выявления запрещенных металлических предметов к провозу на борту воздушного судна что вы захватите с собой? среднее-техническое и/или высшее образование опыт работы не менее 2-х лет в сервисе знание казахского и русского языков коммуникабельность, внимательность, стрессоустойчивость что мы вам предлагаем: оформление в соответствии с трудовым кодексом республики казахстан. декретная ставка место работы — международный аэропорт алматы. график 2/2 (день, ночь и два дня отдыха) бесплатные обеды. ежегодный оплачиваемый отпуск — 24 календарных дня (+1 день к отпуску на день рождения после 1 года работы). ежегодные бонусы по результатам работы. медицинская страховка после испытательного срока. развозка (13 маршрутов). обучение, доступ к e-learning academy и другим онлайн/офлайн платформам. международный аэропорт алматы обеспечивает равные возможности для каждого кандидата, исключая любую форму дискриминации по признакам расы, цвета кожи, пола, религии, языка, ориентации, политических взглядов, этнической принадлежности, состояния здоровья, инвалидности, семейных обязанностей, профсоюзной деятельности. присоединяйтесь к нашей команде и станьте частью глобальной семьи аэропортов, объединяющей профессионалов, которые вместе работают над созданием будущего с безупречным опытом путешествий!",,37
"Требуются в цех фасовщики,упаковщики.",,0,,0,https://www.olx.kz/obyavlenie/rabota/trebuyutsya-v-tseh-fasovschiki-upakovschiki-IDqJwm1.html,olx.kz,,,453
HR-специалист в TikTok-компанию,ТОО FREEZONE KAZAKHSTAN,1,"от 250 000 до 500 000 ₸ за месяц, до вычета налогов",1,https://almaty.hh.kz/vacancy/132049541?hhtmFrom=vacancy_search_list,hh.kz,"🔥 мы ищем тебя! хочешь работать в сфере hr и зарабатывать уже с первых месяцев? присоединяйся к нашей команде 👇 📌 обязанности: • размещение вакансий 🧾 • поиск и общение с кандидатами 💬 • приглашение на собеседования 📞 • ведение отчётности 📊 📌 требования: • опыт приветствуется, но не обязателен ⭐ • коммуникабельность и активность 💬 • ориентация на результат 💰 • готовность к графику 6/1 (12:00–20:00) ⏰ 💰 условия: • оклад: 250,000 kzt • + бонусы за каждого кандидата 🚀 • доход: 300,000 – 700,000 kzt ✨ мы предлагаем: • обучение 📚 • быстрый карьерный рост 📈 • молодой и энергичный коллектив ⚡ 📍 адрес: алматы, проспект жибек жолы, 104 💡 给你一个关键优化（很重要）",,254
Энергетик на производство,ТОО KazGer,1,"до 300 000 ₸ за месяц, на руки",1,https://almaty.hh.kz/vacancy/132234538?hhtmFrom=vacancy_search_list,hh.kz,"alit – это первая отечественная компания по производству сухих строительных смесей. на рынке более 25 лет, производим и реализуем штукатурные, шпаклёвочные и цементные смеси. наша миссия: «мы предлагаем прочные решения для каждого ремонта, наполняя ваш дом тёплом и уютом». при строительстве каждого стратегического объекта столицы использовались наши смеси, в таких как ак орда, хан шатыр, астана опера, talan towers. нашими постоянными клиентами являются: bi group, базис а, sensata, g park и другие. обязанности: обеспечение бесперебойной и безопасной эксплуатации электроустановок на производстве организация и контроль работы электрохозяйства предприятия ответственность за техническое состояние, обслуживание и своевременный ремонт электрооборудования контроль соблюдения требований охраны труда, техники безопасности и электробезопасности назначение и контроль ответственных лиц за электрохозяйство в подразделениях обеспечение проведения планово-предупредительных ремонтов (ппр) контроль за рациональным использованием электроэнергии и снижением энергозатрат взаимодействие с надзорными и энергоснабжающими организациями ведение технической документации и отчетности по электрохозяйству требования: высшее техническое образование (энергетика, электротехника) опыт работы на аналогичной должности на производстве от 3–5 лет знание правил эксплуатации электроустановок и нормативных документов по электробезопасности наличие группы допуска по электробезопасности не ниже iv (до и выше 1000 в) опыт организации и ведения электрохозяйства предприятия навыки планирования и проведения ппр электрооборудования ответственность за безопасную эксплуатацию электроустановок умение работать с технической документацией и контролирующими органами организаторские навыки и умение управлять персоналом условия: пол ставки, в неделю 3 раза по 8 часов бесплатное питание за счёт компании; стабильная работа в надежной производственной компании; своевременная выплата заработной платы.",,304
