title,company_name,has_company_name,salary,has_salary,url,source,description,label,id
Менеджер на пункт выдачи заказов в оптовую фирму,,0,,0,https://www.olx.kz/obyavlenie/rabota/menedzher-na-punkt-vydachi-zakazov-v-optovuyu-firmu-IDqKMjc.html,olx.kz,,,795
Сантехник,ТОО Хуа Ю Интернационал в Казахстане,1,260 000 ₸ за месяц на руки,1,https://almaty.hh.kz/vacancy/132127699?hhtmFrom=vacancy_search_list,hh.kz,"в жилой комплекс находящийся на муратбаева - толе би срочно требуется сантехник!!! обязанности: обеспечивает исправное состояние, безаварийную и надежную работу обслуживаемых систем центрального отопления, водоснабжения, канализации и водостоков, правильную их эксплуатацию, своевременный качественный ремонт. изучает условия работы систем центрального отопления, водоснабжения, канализации и водостоков, выявляет причины преждевременного износа, принимает меры по их предупреждению и устранению. принимает участие в ликвидации неисправностей в работе систем, их ремонте, монтаже, регулировке и испытаниях требования: опыт работы условия: официальное трудоустройство, оплачиваемый отпуск 24 календарных дня, больничные; график работы 5/2, с 09:00 до 18:00; заработная плата 260 000 тенге на руки! адрес: муратбаева, 159, угол толе би",,182
Требуется старший продавец в супермаркет,,0,,0,https://www.olx.kz/obyavlenie/rabota/trebuetsya-starshiy-prodavets-v-supermarket-IDplBoR.html,olx.kz,,,450
"Требуется разнаробочие, помощники монтажника",,0,,0,https://www.olx.kz/obyavlenie/rabota/trebuetsya-raznarobochie-pomoschniki-montazhnika-IDmR5cG.html,olx.kz,,,560
Чертежник AutoCad,,0,,0,https://www.olx.kz/obyavlenie/rabota/chertezhnik-autocad-IDqHbXR.html,olx.kz,,,755
"Электромонтер по ремонту и обслуживанию электрооборудования (до 1000 В, III группа)",ТОО Автомотив Ассистанс Альянс,1,до 500 000 ₸ за месяц до вычета налогов,1,https://almaty.hh.kz/vacancy/132166408?hhtmFrom=vacancy_search_list,hh.kz,обязанности: обслуживание и ремонт электрооборудования до 1000 в проведение планово-предупредительных работ диагностика и устранение неисправностей контроль исправности электрооборудования участие в монтажных работах пуско-наладочные работы монтаж/демонтаж электрооборудования контроль исправности электросетей и оборудования ведение технической документации требования: допуск по электробезопасности до 1000 в (iii группа) опыт работы с электрооборудованием или инженерными системами от 2 лет знание правил техники безопасности и птэ ответственность и дисциплина условия: официальное трудоустройство согласно тк рк стабильная заработная плата + компенсация расходов,,159
Руководитель отдела HR,ТОО MONOLIT-GROUP,1,от 1 000 000 до 1 200 000 ₸ за месяц на руки,1,https://almaty.hh.kz/vacancy/132225248?hhtmFrom=vacancy_search_list,hh.kz,"строительная компания monolit group приглашает в команду опытного hr-руководителя, который будет играть ключевую роль в развитии hr-функции и выстраивании эффективной системы управления персоналом. monolit group — это динамично развивающаяся строительная компания, реализующая проекты различного масштаба и сложности. мы создаём современные и качественные объекты, опираясь на профессионализм команды, системный подход и высокие стандарты работы. мы ищем сильного hr-лидера, который возьмёт на себя ответственность за формирование и развитие hr-стратегии, выстроит прозрачные и эффективные процессы управления персоналом и станет стратегическим партнёром для компании. обязанности: формирование и реализация hr-стратегии в соответствии с бизнес-целями компании; построение, развитие и управление всеми hr-процессами (end-to-end); разработка, внедрение и развитие hr-методологии (политики, регламенты, стандарты, процедуры); кадровое планирование (численность, организационная структура, штатное расписание, бюджетирование); подбор и адаптация персонала, включая управленческие позиции; развитие системы обучения и развития (корпоративные программы, кадровый резерв, развитие руководителей); внедрение и развитие системы оценки персонала (kpi, performance review, 360°); разработка и внедрение систем мотивации и компенсаций (грейды, бонусные схемы, льготы); повышение вовлеченности и удержание персонала, развитие корпоративной культуры; развитие hr-аналитики (метрики, отчетность, текучесть) и автоматизация hr-процессов; управление hr-командой; взаимодействие с руководителями подразделений и участие в организационных изменениях; требования: опыт работы в hr не менее 6 лет, включая опыт управления hr-функцией / hr-департаментом; опыт разработки и реализации hr-стратегии; глубокая экспертиза во всех ключевых hr-направлениях; практический опыт разработки и внедрения hr-методологии; опыт построения и оптимизации hr-процессов; опыт разработки и внедрения систем мотивации и оценки персонала; успешный опыт управления командой; знание трудового кодекса республики казахстан; владение современными инструментами подбора, оценки и развития персонала; уверенное владение microsoft office, 1с и hr/crm-системами; грамотная устная и письменная речь на казахском и русском языках; личные качества: системное и аналитическое мышление; лидерские качества и стратегическое видение; развитые коммуникативные навыки и умение выстраивать партнерство с коллективом; проактивность и ориентация на результат; гибкость и адаптивность; навыки формирования и развития эффективных команд. условия: официальное трудоустройство и стабильная выплата заработной платы; конкурентный уровень дохода (обсуждается с кандидатом); бонусная система после успешного прохождения испытательного срока; график работы: 5/2; комфортный офис (кофе, организация обедов) ; корпоративное обучение и развитие; тимбилдинги и корпоративные мероприятия за счет компании; участие в спортивных мероприятиях; возможности карьерного и профессионального роста; дружелюбная и поддерживающая команда.",,70
Администратор,ТОО ILOVEYOU,1,"от 200 000 до 270 000 ₸ за месяц, до вычета налогов",1,https://almaty.hh.kz/vacancy/131498381?hhtmFrom=vacancy_search_list,hh.kz,"привет! меня зовут василий и я ищу к себе в команду крутого, энергичного, ответственного, честного, веселого и способного администратора, которого обучу многим интересным навыкам и который будет вместе со мной и моей командой двигаться к общим целям твоя работа будет построена на общении с людьми, будешь тусить на наших мероприятиях, ходить на работе в тапочках или босиком, пить много чая и ездить домой на корпоративном такси за счет компании:) основная обязанность - работа с клиентской базой и прямые продажи. у нас небольшой коллектив: я, диана, вагиф, жанар, динара, ирина. присоединяйся к нам и получишь массу полезного опыта, а также крутые бонусы в виде бесплатного обучения вокалу график работы 2/2, работа не сложная, всему обучу!",,362
Упаковщик,ТОО Альянс 2006,1,260 000 ₸ за месяц на руки,1,https://almaty.hh.kz/vacancy/132226883?hhtmFrom=vacancy_search_list,hh.kz,"обязанности: сбор, комплектация и упаковка заказов (каспи-магазин). (посуда, хоз.товары) наклейка накладных на заказ требования: внимательность аккуратность пунктуальность условия: рабочий день с 8.00, суббота/воскресенье - выходной",,132
Бухгалтер на первичную документацию,ТОО Aina Resources,1,500 000 ₸ за месяц на руки,1,https://almaty.hh.kz/vacancy/132114554?hhtmFrom=vacancy_search_list,hh.kz,"требуется бухгалтер материального стола обязанности: - поступление тмц, услуг, ос, незавершенного производства; - списание, перемещение тмц, ос, инвентаризация тмц и ос, работа со складами; - контроль взаиморасчетов с контрагентами - работа в 1с требования: - высшее или среднее специальное бухгалтерское образование - опыт работы бухгалтером не менее 5 лет - знание налогового и бухгалтерского законодательства рк - уверенное владение 1с - внимательность, ответственность, самостоятельность условия: официальное трудоустройство.",,45
Разнорабочий. Посевные работы.,,0,,0,https://www.olx.kz/obyavlenie/rabota/raznorabochiy-posevnye-raboty-IDqHSau.html,olx.kz,,,599
Ночной помощник водителя,ТОО Jet Sharing,1,350 000 ₸ за месяц на руки,1,https://almaty.hh.kz/vacancy/132064866?hhtmFrom=vacancy_search_list,hh.kz,"в компанию jet требуется помощник водителя (без вождения) в ночную смену для перевозки и замен батарей электросамокатов обязанности: - перевозка электросамокатов в городе вместе с водителем, замена батарей - контроль выставления корректных статусов во внутренней программе - загрузка и выгрузка электросамокатов условия: - заработная плата 350 000 тенге на руки - график работы: 6/1, ночная смена с 21:00-09:00 (выходной согласовывается заранее) - стабильная выплата заработной платы 2 раза в месяц - возможность перевода, карьерного роста, в том числе и на руководящие позиции если хочешь быть частью команды, которая меняет городской транспорт и ценит твой вклад - присоединяйся к jet! оставь отклик и начинай создавать будущее городской мобильности вместе с нами.",,71
Помощник главного бухгалтера,ТОО BanStroy KZ,1,"200 000 ₸ за месяц, на руки",1,https://almaty.hh.kz/vacancy/132100601?hhtmFrom=vacancy_search_list,hh.kz,"обязанности: работа с первичной документацией, с актами сверок, с выписками, со счетами на оплату, с платежными поручениями, оформление доверенностей, кассовые операции ведение дебиторской и кредиторской задолженности; взаимодействие с контролирующими органами, банками и другими организациями; требования: опыт работы желателен. рассматриваем кандидатов без опыта при условии быстрой обучаемости и базовых знаний бухгалтерии; знание 1с-бухгалтерии; рассматриваются кандидаты, территориально находящиеся в районе старого вокзала и рядом. порядочность ответственность хорошее знание пк, офисных программ (ms office и др.); условия: испытательный срок — 1 месяц; далее — официальное трудоустройство согласно тк рк. график работы 5/2, 9.00-18.00 (обед с 13:00 до 14:00) по всем вопросам пишите в чат — отвечаем здесь.",,430
Требуется сборщик мебели,,0,,0,https://www.olx.kz/obyavlenie/rabota/trebuetsya-sborschik-mebeli-IDpKBaE.html,olx.kz,,,803
Системный администратор,ТОО Hyundai Shymkent City,1,,0,https://almaty.hh.kz/vacancy/132129831?hhtmFrom=vacancy_search_list,hh.kz,"обязанности: администрирование серверов и операционных систем: windows (всех версий), novell, unix (инсталляция, настройка, заведение пользователей и их прав доступа), структурированной кабельной сети, баз данных; осуществление мероприятий по администрированию, обслуживанию каналов связи, мини атс компании, локальной и корпоративной вычислительной сети компании (подключение, коммутация, настройка); поддержка работоспособности и технического сопровождения интернета, электронной почты и веб – сайтов компании; администрирование пользователей локальной вычислительной сети (настройка сетевого оборудования, подключение), обеспечение настройки и подключения сетевых принтеров; администрирование автоматизированных информационных систем: регистрация пользователей и организацию автоматизированных рабочих мест, с предоставлением соответствующих прав доступа к данным, ведение общесистемных справочников и словарей; закуп по приобретению компанией товаров, работ и услуг в соответствии с внутренними документами компании, регламентирующими порядок осуществления закупок товаров, работ и услуг; сопровождение информационных систем компании. требования: знание 1с, dms, эдо и crm; знание ос: windows 95/98/me/2000/2003/xp/vista (все актуальные версии на момент собеседования); знание ad, встроенных доменных политик; знание office 97/2000/xp/2007; знание реляционных баз данных: ms sql server, oracle, db/2,mysql; знание сетей: windows nt (tcp/ip), novell netware (ipx/spx), unix (tcp/ip); знание почтовых программ и серверов: ms outlook, ms exchange server; знание интернет-серверов: iis, apache; знание itil/itsm. знание казахского и русского языков. условия: работа в официальном дилерском автоцентре моторной компании ""астана моторс"" , динамично развивающейся на автомобильном рынке более 30 лет; официальное оформление по тк рк; график работы 5/2 суббота, воскресенье выходной ; возможность постоянно обучаться и повышать квалификацию; молодой и дружелюбный коллектив; годовое медицинское обслуживание в сети мед. центров; 50% скидки на приобретение годового абонемента в фитнес-центр.",,345
Требуется техничка в торг фирму «Береке» сзади Обувной фабрики,,0,,0,https://www.olx.kz/obyavlenie/rabota/trebuetsya-tehnichka-v-torg-firmu-bereke-szadi-obuvnoy-fabriki-IDpltDZ.html,olx.kz,,,486
Стажёр в Департаменте наземных операций,"Международный Аэропорт Алматы, АО",1,,0,https://almaty.hh.kz/vacancy/132108145?hhtmFrom=vacancy_search_list,hh.kz,"описание вакансии мечтаешь работать в аэропорту и ищешь возможность пройти стажировку с перспективой дальнейшего трудоустройства? тогда у тебя есть отличный шанс стать частью команды международного аэропорта алматы. мы предлагаем уникальную возможность начать карьеру в одном из ключевых подразделений аэропорта — департаменте наземных операций, получить практический опыт и развиваться в международной авиационной среде. landside operations в аэропорту — это наземная часть аэропортовой деятельности, обеспечивающая обслуживание пассажиров и организацию их перемещения. в данное направление входят терминальные здания, подъездные и кольцевые дороги, парковочные зоны, а также центр оперативного управления аэропорта (диспетчерская служба), координирующий работу основных процессов. что тебя ждет: погружение в реальные операционные процессы аэропорта; участие в работе подразделений по управлению, операционному контролю и обслуживанию пассажиров; работа в динамичной и международной среде; сменный график работы, включая ночные смены; обучение и сопровождение на всех этапах стажировки. кого мы ищем: так же студентов 3–4 курсов, а также недавних выпускников; кандидатов с хорошим уровнем владения английским языком; мотивированных, ответственных и заинтересованных в развитии в авиационной сфере; базовые навыки работы с пк будут преимуществом. что мы предлагаем: полное обучение и наставничество; возможность получения международного профессионального опыта; реальную перспективу дальнейшего трудоустройства в компании; развитие в одной из ведущих авиационных компаний региона. станьте частью нашей команды и начните свой профессиональный путь вместе с международным аэропортом алматы.",,240
"Бухгалтер-калькулятор в ТОО ""Palau Shaihana""",ТОО Monteverde food,1,500 000 ₸ за месяц до вычета налогов,1,https://almaty.hh.kz/vacancy/132244437?hhtmFrom=vacancy_search_list,hh.kz,"обязанности: составление и ведение калькуляционных карт на блюда и напитки расчёт и контроль себестоимости (фудкост) внесение и корректировка технологических карт в учётной системе контроль правильности списаний сырья и полуфабрикатов участие в инвентаризациях, анализ результатов (излишки/недостачи) контроль остатков на складе и в производстве анализ отклонений по себестоимости и списаниям взаимодействие с шеф-поваром, шеф- барменом по нормам закладки работа в программе iiko полный документооборот производственного учета. требования: опыт работы бухгалтером-калькулятором от 3 лет в общепите знание принципов расчёта себестоимости и фудкоста умение работать с калькуляционными и технологическими картами понимание процессов кухни и списания продуктов опыт ведения складского учёта (тмц) уверенный пользователь iiko, excel опыт проведения и анализа инвентаризаций внимательность к деталям, ответственность, системность умение работать с большим объёмом данных будет преимуществом: опыт работы в ресторанах/сети заведений понимание норм закладки и технологических процессов навыки анализа и оптимизации себестоимости условия: оформление по тк рк, ведение 3х тоо ""monteverde food"", тоо ""palau shaihana"", тоо ""гиннес"" график работы 5/2, обед бесплатно, тр.отпуск 24 кд",,136
Продавец-консультант,ИП Маляров Р.А. (Milavitsa),1,от 200 000 до 350 000 ₸ за месяц на руки,1,https://almaty.hh.kz/vacancy/132214211?hhtmFrom=vacancy_search_list,hh.kz,"обязанности: обеспечить розничные продажи нижнего белья, соблюдение чистоты в торговом зале, помощь в выборе продукции , консультирование клиентов, выкладка продукции в торговом зале . проведение инвентаризаций. требования опыт работы не требуется честность, умение работать самостоятельно. условия: магазин milavitsa в dostyq mall с 9.00 до 22:00 график посменный 2 через 2, с 9.00 до 22.00. о клад +%",,83
Электрик,ТОО AstanaLuxBuild,1,от 300 000 до 400 000 ₸ за месяц на руки,1,https://almaty.hh.kz/vacancy/132201482?hhtmFrom=vacancy_search_list,hh.kz,"обязанности: • монтаж, прокладка и подключение электрических сетей на строительных объектах • установка и подключение распределительных щитов, автоматов, приборов учета • монтаж кабельных линий (внутренних и наружных инженерных сетей) • подключение и наладка электрооборудования и строительной техники • проведение диагностики, выявление и устранение неисправностей • соблюдение требований техники безопасности и норм пуэ • ведение исполнительной документации (при необходимости) • взаимодействие с прорабом и инженерно-техническим персоналом требования: • опыт работы электриком от 3 лет (желательно в строительстве) • профильное образование (электротехническое) • знание схем электроснабжения и принципов работы оборудования • навыки монтажа и обслуживания электрических сетей до и выше 1000 в • умение читать проектную и исполнительную документацию • наличие допуска по электробезопасности (группа не ниже iii–iv) • ответственность, дисциплина, умение работать в команде условия: • официальное трудоустройство (тк рк) • стабильная заработная плата (обсуждается по результатам собеседования) • работа на строительных объектах (возможны командировки) • график работы: 6/1 или (по договоренности) • обеспечение спецодеждой и инструментом • возможность профессионального роста и участия в крупных проектах • дружный коллектив и стабильная загрузка работой",,166
